colonne,description,type_valeur,exemple
code_departement,Code département INSEE,chaîne de caractères,09
nom_departement,Nom du département,chaîne de caractères,Ariège
code_commune,Code commune INSEE,chaîne de caractères,09261
nom_commune,Nom de la commune,chaîne de caractères,Saint-Girons
code_qp,Code du quartier prioritaire ,chaîne de caractères,QP009001
nom_qp,Libellé du quartier prioritaire,chaîne de caractères,Coeur De Ville
id_mutation,Identifiant de vente,chaîne de caractères,2019-100563
id_parcelle,Identifiant de parcelle (14 caractères),chaîne de caractères,092610000D0167
longitude,Longitude du centre de la parcelle concernée,nombre rationnel,1.1438
latitude,Latitude du centre de la parcelle concernée,nombre rationnel,42.9831
nombre_lot,Nombre de lots,entier,0
date_mutation,Date de la vente,date,2019-11-25
jour_mutation,Jour de la vente,chaîne de caractères,25
mois_mutation,Mois de la vente,chaîne de caractères,11
annee_mutation,Année de la vente,chaîne de caractères,2019
nature_mutation,Type de mutation,chaîne de caractères,Vente
valeur_fonciere,Valeur foncière,entier,85000
code_type,Code de type de local,chaîne de caractères,1
type_local,Libellé du type de local,chaîne de caractères,Maison
surface_reelle_bati,Surface réelle du bâti,entier,75
nombre_pieces_principales,Nombre de pièces principales,entier,4
surface_terrain,Surface du terrain,entier,60
